Date & Time,Price,Market caps ,Total Volume
"Wed, 26 May 2021 08:00:00 +0000",2695.4778071496326,312566215516.573,92468701273.98392
"Thu, 27 May 2021 08:00:00 +0000",2882.483407624011,334435114557.1313,53115222704.62064
"Fri, 28 May 2021 08:00:00 +0000",2742.990862697615,319404492002.5219,44070236220.034096
"Sat, 29 May 2021 08:00:00 +0000",2433.328865728611,282228507934.91974,49493519120.23643
"Sun, 30 May 2021 08:00:00 +0000",2294.626285512794,268672927561.12476,47141249182.27268
"Mon, 31 May 2021 08:00:00 +0000",2395.8532280027384,278270782653.56213,37392021393.940125
"Tue, 01 Jun 2021 08:00:00 +0000",2708.429865793973,314463232386.7883,44445830387.932175
"Wed, 02 Jun 2021 08:00:00 +0000",2632.6565998696506,306488816882.1444,39898648753.4186
"Thu, 03 Jun 2021 08:00:00 +0000",2717.1540367097723,315313344228.8267,39148856525.29615
"Thu, 03 Jun 2021 21:33:04 +0000",2817.566648232997,326623783951.19244,40365357726.61188
